Annie Get Your Gun (1950, Blockbusters), Comedy
King Solomon's Mines (1950, Oscar), Drama
Sunset Boulevard (1950, Oscar), Drama
A Place in the Sun (1951, Oscar), Drama
A Streetcar Named Desire (1951, Oscar), Drama
An American in Paris (1951, Oscar), Drama
Decision Before Dawn (1951, Oscar), Drama
QUO VADIS (1951, Oscar), Drama
High Noon (1952, Oscar), Drama
Ivanhoe (1952, Oscar), Action
Moulin Rouge (1952, Oscar), Drama
The greatest show on earth (1952, Oscar), Drama
The quiet man (1952, Oscar), Comedy
From Here To Eternity (1953, Oscar), Drama
Julius Caesar (1953, Oscar), Drama
Roman Holiday (1953, Oscar), Comedy
Shane (1953, Oscar), Drama
The greatest show on earth (1953, Oscar), Drama
The quiet man (1953, Oscar), Comedy
The Robe (1953, Oscar), Drama
From Here To Eternity (1954, Oscar), Drama
Julius Caesar (1954, Oscar), Drama
Roman Holiday (1954, Oscar), Comedy
Shane (1954, Oscar), Drama
The Robe (1954, Oscar), Drama
20000 Leagues Under The Sea (1955, Oscar), Action
On the Waterfront (1955, Oscar), Thriller
Seven Brides For Seven Brothers (1955, Oscar), Drama
The Caine Mutiny (1955, Oscar), Drama
The Country Girl (1955, Oscar), Drama
Three Coins in the Fountain (1955, Oscar), Drama
Love Is a Many-Splendored Thing (1956, Oscar), Drama
Marty (1956, Oscar), Drama
Mister Roberts (1956, Oscar), Comedy
Picnic (1956, Oscar), Drama
The Rose Tattoo (1956, Oscar), Drama
Around The World In 80 Days (1957, Oscar), Action
Friendly Persuasion (1957, Oscar), Drama
Giant (1957, Oscar), Drama
The King and I (1957, Oscar), Drama
The Ten Commandments (1957, Oscar), Action
12 Angry Men (1958, Oscar), Action
Peyton Place (1958, Oscar), Action
Sayonara (1958, Oscar), Drama
The Bridge on the River Kwai Dual (1958, Oscar), Action
Witness for the Prosecution (1958, Oscar), Action
Auntie Mame (1959, Oscar), Comedy
Cat on a Hot Tin Roof (1959, Oscar), Drama
Gigi (1959, Oscar), Comedy
Separate Tables (1959, Oscar), Drama
The Defiant Ones (1959, Oscar), Action
Anatomy Of A Murder (1960, Oscar), Drama
Ben-Hur (1960, Oscar), Action
Room at The Top (1960, Oscar), Drama
The Diary of Anne Frank (1960, Oscar), Drama
The Nun's story (1960, Oscar), Drama
Elmer Gantry (1961, Oscar), Drama
Sons and Lovers (1961, Oscar), Drama
The Alamo (1961, Oscar), Action
The Apartment (1961, Oscar), Comedy
The Sundowners (1961, Oscar), Drama
Fanny (1962, Oscar), Drama
Judgment at Nuremberg (1962, Oscar), Drama
The Guns of Navarone (1962, Oscar), Action
The Hustler (1962, Oscar), Drama
Lawrence of Arabia (1963, Oscar), Action
Mutiny On The Bounty (1963, Oscar), Action
The Longest Day (1963, Oscar), Action
The Music Man (1963, Oscar), Comedy
To Kill A Mockingbird (1963, Oscar), Action
Cleopatra (1964, Oscar), Comedy
How the West Was Won (1964, Oscar), Action
Lilies of the Field (1964, Oscar), Drama
Tom Jones (1964, Oscar), Action
Becket (1965, Oscar), Drama
Dr Strangelove (1965, Oscar), Comedy
Mary Poppins (1965, Oscar), Comedy
My Fair Lady (1965, Oscar), Drama
Zorba the Greek (1965, Oscar), Comedy
A Thousand Clowns (1966, Oscar), Comedy
Darling (1966, Oscar), Drama
Doctor Zhivago (1966, Oscar), Drama
Ship of Fools (1966, Oscar), Drama
The Sound of Music (1966, Oscar), Drama
A Man for All Seasons (1967, Oscar), Drama
Alfie (1967, Oscar), Comedy
The Russians Are Coming the Russians Are Coming (1967, Oscar), Comedy
The Sand Pebbles (1967, Oscar), Action
Who's Afraid of Virginia Woolf_ (1967, Oscar), Drama
Bonnie and Clyde (1968, Oscar), Action
Doctor Dolittle (1968, Oscar), Action
Guess Who's Coming to Dinner (1968, Oscar), Comedy
In The Heat Of The Night (1968, Oscar), Drama
The Graduate (1968, Oscar), Comedy
Funny Girl (1969, Oscar), Comedy
Oliver! (1969, Oscar), Drama
Rachel,Rachel (1969, Oscar), Drama
Romeo and Juliet (1969, Oscar), Drama
The Lion in Winter (1969, Oscar), Drama
Anne of The Thousand Days (1970, Oscar), Drama
Butch Cassidy And The Sundance Kid (1970, Oscar), Action
Hello,Dolly! (1970, Oscar), Action
Midnight Cowboy (1970, Oscar), Drama
Z (1970, Oscar), Action
Airport (1971, Oscar), Action
Five Easy Pieces (1971, Oscar), Drama
Love Story (1971, Oscar), Drama
Patton (1971, Oscar), Drama
A Clockwork Orange (1972, Oscar), Action
Fiddler on the Roof (1972, Oscar), Drama
Nicholas and Alexandra (1972, Oscar), Drama
The French Connection (1972, Oscar), Action
The Last Picture Show (1972, Oscar), Drama
Cabaret (1973, Oscar), Drama
Deliverance (1973, Oscar), Action
Sounder (1973, Oscar), Drama
The Emigrants (1973, Oscar), Drama
The Godfather Part I (1973, Oscar), Action
A touch of class (1974, Oscar), Comedy
American Graffiti (1974, Oscar), Comedy
Cries and Whispers (1974, Oscar), Drama
The Exorcist (1974, Oscar), Thriller
The Sting (1974, Oscar), Comedy
Chinatown (1975, Oscar), Drama
Lenny (1975, Oscar), Drama
The Conversation (1975, Oscar), Drama
The Godfather Part II (1975, Oscar), Action
The Towering Inferno (1975, Oscar), Action
Barry Lyndon (1976, Oscar), Action
Dog Day Afternoon (1976, Oscar), Thriller
Jaws (1976, Oscar), Thriller
Nashville (1976, Oscar), Comedy
One Flew Over The Cuckoo's Nest (1976, Oscar), Drama
All the President's Men (1977, Oscar), Thriller
Bound for Glory (1977, Oscar), Drama
Network (1977, Oscar), Drama
Rocky (1977, Oscar), Action
Taxi Driver (1977, Oscar), Thriller
Annie Hall (1978, Oscar), Comedy
Julia (1978, Oscar), Drama
Star Wars Episode IV - A New Hope (1978, Oscar), Action
The Goodbye Girl (1978, Oscar), Comedy
The Turning Point (1978, Oscar), Drama
An Unmarried Woman (1979, Oscar), Comedy
Coming Home (1979, Oscar), Drama
Heaven Can Wait (1979, Oscar), Comedy
Midnight Express (1979, Oscar), Thriller
The Deer Hunter (1979, Oscar), Drama
All That Jazz (1980, Oscar), Drama
Apocalypse Now (1980, Oscar), Drama
Breaking Away (1980, Oscar), Comedy
Kramer vs. Kramer (1980, Oscar), Drama
Norma Rae (1980, Oscar), Drama
Coal Miner's Daughter (1981, Oscar), Drama
Ordinary People (1981, Oscar), Drama
Raging Bull (1981, Oscar), Action
The Elephant Man (1981, Oscar), Drama
Atlantic City (1982, Oscar), Thriller
Chariots of Fire (1982, Oscar), Drama
On Golden Pond (1982, Oscar), Drama
Raiders of The Lost Ark (1982, Oscar), Action
Reds (1982, Oscar), Drama
E.T. The Extra-Terrestrial (1983, Oscar), Action
Gandhi (1983, Oscar), Drama
Missing (1983, Oscar), Drama
The Verdict (1983, Oscar), Drama
Tootsie (1983, Oscar), Comedy
Tender Mercies (1984, Oscar), Drama
Terms of Endearment (1984, Oscar), Comedy
The Big Chill (1984, Oscar), Comedy
The Dresser (1984, Oscar), Drama
The Right Stuff (1984, Oscar), Action
A Passage to India (1985, Oscar), Action
A Soldier's Story (1985, Oscar), Thriller
Amadeus (1985, Oscar), Drama
Places in the Heart (1985, Oscar), Drama
The Killing Fields (1985, Oscar), Drama
Kiss of the Spider Woman (1986, Oscar), Drama
Out of Africa (1986, Oscar), Drama
Prizzi's Honor (1986, Oscar), Comedy
The Color Purple (1986, Oscar), Drama
Witness (1986, Oscar), Drama
Children of a Lesser God (1987, Oscar), Drama
Hannah and Her Sisters (1987, Oscar), Comedy
Platoon (1987, Oscar), Drama
The Mission (1987, Oscar), Action
Broadcast News (1988, Oscar), Comedy
Fatal Attraction (1988, Oscar), Drama
Hope and Glory (1988, Oscar), Comedy
Moonstruck (1988, Oscar), Comedy
The Last Emperor (1988, Oscar), Drama
Dangerous Liaisons (1989, Oscar), Drama
Mississippi Burning (1989, Oscar), Thriller
Rain Man (1989, Oscar), Drama
The Accidental Tourist (1989, Oscar), Comedy
Working Girl (1989, Oscar), Comedy
Born on the Fourth of July (1990, Oscar), Drama
Dead Poets Society (1990, Oscar), Comedy
Driving Miss Daisy (1990, Oscar), Comedy
Field of Dreams (1990, Oscar), Drama
My Left Foot (1990, Oscar), Comedy
Awakenings (1991, Oscar), Drama
Dances With Wolves (1991, Oscar), Action
Ghost (1991, Oscar), Drama
Goodfellas (1991, Oscar), Thriller
The Godfather Part III (1991, Oscar), Thriller
Beauty and the Beast (1992, Oscar), Drama
Bugsy (1992, Oscar), Thriller
JFK (1992, Oscar), Drama
The Prince of Tides (1992, Oscar), Drama
The Silence of the Lambs (1992, Oscar), Thriller
A Few Good Men (1993, Oscar), Drama
Howards End (1993, Oscar), Drama
Scent of A Woman (1993, Oscar), Drama
The Crying Game (1993, Oscar), Thriller
Unforgiven (1993, Oscar), Drama
In the Name of the Father (1994, Oscar), Thriller
Schindler's List (1994, Oscar), Drama
The Fugitive (1994, Oscar), Action
The Pelican Brief (1994, Oscar), Thriller
The Remains of the Day (1994, Oscar), Drama
Forrest Gump (1995, Oscar), Drama
Four Weddings and a Funeral (1995, Oscar), Comedy
Pulp Fiction (1995, Oscar), Thriller
Quiz Show (1995, Oscar), Drama
The Shawshank Redemption (1995, Oscar), Drama
Apollo 13 (1996, Oscar), Action
Babe (1996, Oscar), Comedy
Braveheart (1996, Oscar), Drama
Sense and Sensibility (1996, Oscar), Drama
Fargo (1997, Oscar), Thriller
Jerry Maguire (1997, Oscar), Comedy
Secrets & Lies (1997, Oscar), Comedy
Shine (1997, Oscar), Drama
The English Patient (1997, Oscar), Drama
As Good as It Gets (1998, Oscar), Comedy
Good Will Hunting (1998, Oscar), Drama
L.A. Confidential (1998, Oscar), Thriller
The Full Monty (1998, Oscar), Comedy
Titanic (1998, Oscar), Drama
Elizabeth (1999, Oscar), Drama
Saving Private Ryan (1999, Oscar), Drama
Shakespeare in Love (1999, Oscar), Comedy
The Thin Red Line (1999, Oscar), Drama
American Beauty (2000, Oscar), Drama
The Cider House Rules (2000, Oscar), Drama
The Green Mile (2000, Oscar), Thriller
The Insider (2000, Oscar), Drama
The Sixth Sense (2000, Oscar), Drama
Chocolat (2001, Oscar), Drama
Crouching Tiger, Hidden Dragon (2001, Oscar), Action
Erin Brockovich (2001, Oscar), Drama
Gladiator (2001, Oscar), Action
Traffic (2001, Oscar), Action
A Beautiful Mind (2002, Oscar), Drama
Gosford Park (2002, Oscar), Comedy
In the Bedroom (2002, Oscar), Action
Moulin Rouge! (2002, Oscar), Drama
The Lord of the Rings The Fellowship of the Ring (2002, Oscar), Action
Chicago (2003, Oscar), Comedy
Gangs of New York (2003, Oscar), Action
The Hours (2003, Oscar), Drama
The Lord of the Rings The Two Towers (2003, Oscar), Action
The Pianist (2003, Oscar), Drama
Lost in Translation (2004, Oscar), Comedy
Master and Commander The Far Side of the World (2004, Oscar), Action
Mystic River (2004, Oscar), Action
Seabiscuit (2004, Oscar), Drama
The Lord of the Rings The Return of the King (2004, Oscar), Action
Finding Neverland (2005, Oscar), Drama
Million Dollar Baby (2005, Oscar), Drama
Ray (2005, Oscar), Drama
Sideways (2005, Oscar), Comedy
The Aviator (2005, Oscar), Drama
Brokeback Mountain (2006, Oscar), Drama
Capote (2006, Oscar), Action
Crash (2006, Oscar), Action
Good Night, and Good Luck (2006, Oscar), Drama
Munich (2006, Oscar), Action
Babel (2007, Oscar), Drama
Letters from Iwo Jima (2007, Oscar), Action
Little Miss Sunshine (2007, Oscar), Comedy
The Departed (2007, Oscar), Action
The Queen (2007, Oscar), Drama
Atonement (2008, Oscar), Drama
Juno (2008, Oscar), Comedy
Michael Clayton (2008, Oscar), Action
No Country for Old Men (2008, Oscar), Action
There Will Be Blood (2008, Oscar), Drama
Frost Nixon (2009, Oscar), Drama
Milk (2009, Oscar), Drama
Slumdog Millionaire (2009, Oscar), Action
The Curious Case of Benjamin Button (2009, Oscar), Drama
The Reader (2009, Oscar), Drama
An Education (2010, Oscar), Drama
Avatar (2010, Oscar), Action
District 9 (2010, Oscar), Action
Inglourious Basterds (2010, Oscar), Action
Precious (2010, Oscar), Drama
The Blind Side (2010, Oscar), Drama
The Hurt Locker (2010, Oscar), Drama
Up in the Air (2010, Oscar), Comedy
Up (2010, Oscar), Action
127 Hours (2011, Oscar), Drama
Black Swan (2011, Oscar), Drama
Inception (2011, Oscar), Action
The Fighter (2011, Oscar), Action
The Kids Are All Right (2011, Oscar), Comedy
The King's Speech (2011, Oscar), Drama
The Social Network (2011, Oscar), Drama
Toy Story 3 (2011, Oscar), Action
True Grit  (2011, Oscar), Action
Winter's Bone (2011, Oscar), Action
Extremely Loud & Incredibly Close (2012, Oscar), Action
Hugo (2012, Oscar), Action
Midnight in Paris (2012, Oscar), Comedy
Moneyball (2012, Oscar), Drama
The Artist (2012, Oscar), Comedy
The Descendants (2012, Oscar), Comedy
The Help (2012, Oscar), Drama
The Tree of Life (2012, Oscar), Drama
War Horse (2012, Oscar), Action
Amour (2013, Oscar), Drama
Argo (2013, Oscar), Drama
Beasts of the Southern Wild (2013, Oscar), Action
Django Unchained (2013, Oscar), Comedy
Les Misérables (2013, Oscar), Drama
Life of Pi (2013, Oscar), Action
Lincoln (2013, Oscar), Drama
Silver Linings Playbook (2013, Oscar), Comedy
Zero Dark Thirty (2013, Oscar), Drama
12 Years a Slave (2014, Oscar), Drama
American Hustle (2014, Oscar), Action
Captain Phillips (2014, Oscar), Action
Dallas Buyers Club (2014, Oscar), Drama
Gravity (2014, Oscar), Drama
Her (2014, Oscar), Drama
Nebraska (2014, Oscar), Drama
Philomena (2014, Oscar), Comedy
The Wolf of Wall Street (2014, Oscar), Comedy
American Sniper (2015, Oscar), Action
Birdman (2015, Oscar), Comedy
Boyhood (2015, Oscar), Drama
Selma (2015, Oscar), Drama
The Grand Budapest Hotel (2015, Oscar), Action
The Imitation Game (2015, Oscar), Drama
The Theory of Everything (2015, Oscar), Drama
Whiplash (2015, Oscar), Drama
Bridge of Spies (2016, Oscar), Drama
Brooklyn (2016, Oscar), Drama
Mad Max Fury Road (2016, Oscar), Action
Room (2016, Oscar), Drama
Spotlight (2016, Oscar), Action
The Big Short (2016, Oscar), Comedy
The Martian (2016, Oscar), Action
The Revenant (2016, Oscar), Action
Arrival (2017, Oscar), Drama
Fences (2017, Oscar), Drama
Hacksaw Ridge (2017, Oscar), Drama
Hell or High Water (2017, Oscar), Action
Hidden Figures (2017, Oscar), Drama
La La Land (2017, Oscar), Comedy
Lion (2017, Oscar), Drama
Manchester by the Sea (2017, Oscar), Drama
Moonlight (2017, Oscar), Drama
Call Me by Your Name (2018, Oscar), Drama
Darkest Hour (2018, Oscar), Drama
Dunkirk (2018, Oscar), Action
Get Out (2018, Oscar), Thriller
Lady Bird (2018, Oscar), Comedy
Phantom Thread (2018, Oscar), Drama
The Post (2018, Oscar), Drama
The Shape of Water (2018, Oscar), Drama
Three Billboards Outside Ebbing, Missouri (2018, Oscar), Comedy
A Star Is Born   (2019, Oscar), Action
Black Panther (2019, Oscar), Action
BlacKkKlansman (2019, Oscar), Comedy
Bohemian Rhapsody (2019, Oscar), Drama
Green Book (2019, Oscar), Comedy
Roma (2019, Oscar), Drama
The Favourite (2019, Oscar), Comedy
Vice (2019, Oscar), Comedy
1917 (2020, Oscar), Action
Ford v Ferrari (2020, Oscar), Action
Jojo Rabbit (2020, Oscar), Comedy
Joker (2020, Oscar), Action
Little Women (2020, Oscar), Drama
Marriage Story (2020, Oscar), Drama
Once Upon a Time in Hollywood (2020, Oscar), Comedy
Parasite (2020, Oscar), Drama
The Irishman (2020, Oscar), Action
Judas and the Black Messiah (2021, Oscar), Drama
Mank (2021, Oscar), Comedy
Minari (2021, Oscar), Drama
Nomadland (2021, Oscar), Drama
Promising Young Woman (2021, Oscar), Action
Sound of Metal (2021, Oscar), Drama
The Father (2021, Oscar), Drama
The Trial of the Chicago 7 (2021, Oscar), Drama
Belfast (2022, Oscar), Drama
CODA (2022, Oscar), Comedy
Don't Look Up (2022, Oscar), Comedy
Drive My Car (2022, Oscar), Drama
Dune (2022, Oscar), Action
King Richard (2022, Oscar), Drama
Licorice Pizza (2022, Oscar), Comedy
Nightmare Alley (2022, Oscar), Action
The Power of the Dog (2022, Oscar), Drama
West Side Story (2022, Oscar), Action
All Quiet on the Western Front (2023, Oscar), Action
Avatar The Way of Water (2023, Oscar), Action
Elvis (2023, Oscar), Drama
Everything Everywhere All at Once (2023, Oscar), Action
The Banshees of Inisherin (2023, Oscar), Comedy
The Fabelmans (2023, Oscar), Drama
Top Gun Maverick (2023, Oscar), Action
Triangle of Sadness (2023, Oscar), Comedy
Tár (2023, Oscar), Drama
Women Talking (2023, Oscar), Drama
American Fiction (2024, Oscar), Comedy
Anatomy of a Fall (2024, Oscar), Action
Barbie (2024, Oscar), Action
Killers of the Flower Moon (2024, Oscar), Action
Maestro (2024, Oscar), Action
Oppenheimer (2024, Oscar), Drama
Past Lives (2024, Oscar), Drama
Poor Things (2024, Oscar), Comedy
The Holdovers (2024, Oscar), Comedy
The Zone of Interest (2024, Oscar), Drama
